change_request_id,sprint_id,sprint_name,release_id,work_item_id,work_item_name,work_item_level,item_type,story_points,priority,request_date,days_into_sprint,sprint_progress_pct,original_estimate_hours,rework_hours,actual_hours,base_effort_hours,impacted_effort_hours,remaining_capacity_hours,caused_spillover,delay_days_caused,delay_severity,complexity_score,predicted_risk_proxy,sprint_task_load,team_capacity_hours,team_headcount,base_remaining_capacity_hours,utilisation_factor,timing_penalty,priority_multiplier,recommendation
CR_000001,410,Sprint 20 - Congo - Release X+3,REL_X+3,536,Make a transfer,User Story,User Story,3,Medium,2024-09-19,2,20.0,18,2,19,19,16.0,47.4,0,0.0,On Time,3,3.8,4.553734061930784,160,4,128.0,0.6297407692395502,1.14,0.6,Accept in current sprint
CR_000002,230,Sprint 22 - Amazon - Release X+3,REL_X+3,5016,QA iOS,Task,Task,2,Low,2024-10-11,4,40.0,8,2,9,9,4.0,51.5,0,0.0,On Time,2,5.3,3.0,240,6,144.0,0.6421637734317197,1.28,0.3,Accept in current sprint
CR_000003,77,Sprint 25 - Yangtze - Release X+2,REL_X+2,1845,Android development task -1,Task,Task,1,Critical,2024-09-06,9,90.0,4,0,4,4,8.4,11.4,0,0.0,On Time,1,9.8,4.0,320,8,31.999999999999993,0.6433499098414265,1.63,1.2,Accept in current sprint
CR_000004,806,Sprint 26 - Ganga - Release X+5,REL_X+5,4609,Back end development task -1,Task,Task,1,Critical,2025-04-09,4,40.0,5,1,6,6,9.9,42.3,0,0.0,On Time,1,4.8,3.0,200,5,120.0,0.6470843469044925,1.28,1.2,Accept in current sprint
CR_000005,365,Sprint 1 - Ganga - Release X+3,REL_X+3,3678,Back end development task -1,Task,Task,1,Medium,2024-03-16,5,50.0,5,0,5,5,4.4,24.5,0,0.0,On Time,1,5.8,4.553734061930784,200,5,100.0,0.7551104076934764,1.35,0.6,Accept in current sprint
CR_000006,520,Sprint 26 - Yenisei - Release X+4,REL_X+4,4172,Review transfer,User Story,User Story,5,High,2025-02-03,9,90.0,23,0,23,23,46.7,13.3,1,9.5,Moderate,5,11.8,4.553734061930784,360,9,35.99999999999999,0.6315287193704112,1.63,0.9,Defer to next sprint
CR_000007,1528,Sprint 20 - Yangtze - Release X+9,REL_X+9,3199,Display Card Menu,User Story,User Story,5,Low,2025-11-14,3,30.0,23,3,24,24,12.1,53.7,0,0.0,On Time,5,5.8,4.553734061930784,320,8,224.0,0.7601287113540391,1.21,0.3,Accept in current sprint
CR_000008,453,Sprint 11 - Nile - Release X+4,REL_X+4,719,Back end development task -1,Task,Task,3,Critical,2024-09-06,9,90.0,19,5,22,22,53.0,8.8,1,24.0,Severe,3,10.8,3.0,280,7,27.999999999999993,0.6863002916211591,1.63,1.2,Defer to next sprint
CR_000009,1334,Sprint 8 - Yenisei - Release X+8,REL_X+8,2406,QA iOS,Task,Task,2,Low,2025-05-06,1,10.0,13,3,15,15,5.6,109.1,0,0.0,On Time,2,2.3,1.0,360,9,324.0,0.663253163286532,1.07,0.3,Accept in current sprint
CR_000010,1419,Sprint 15 - Ganga - Release X+8,REL_X+8,5736,Make a transfer,User Story,User Story,3,High,2025-07-16,2,20.0,19,5,22,22,27.8,49.3,0,0.0,On Time,3,3.8,4.553734061930784,200,5,160.0,0.6917360280463928,1.14,0.9,Accept in current sprint
CR_000011,258,Sprint 24 - Nile - Release X+3,REL_X+3,5816,Backend API development,Task,Task,2,Critical,2024-11-02,6,60.0,10,1,11,11,21.6,40.2,0,0.0,On Time,2,7.3,4.553734061930784,280,7,112.0,0.641279168948147,1.42,1.2,Accept in current sprint
CR_000012,1425,Sprint 21 - Ganga - Release X+8,REL_X+8,665,Back end development task -2,Task,Task,1,High,2025-09-18,6,60.0,4,1,5,5,6.9,31.5,0,0.0,On Time,1,6.8,2.0,200,5,80.0,0.6063315195695292,1.42,0.9,Accept in current sprint
CR_000013,1844,Sprint 24 - Ganga - Release X+10,REL_X+10,3995,Back end development task -1,Task,Task,1,Medium,2026-03-10,9,90.0,5,0,5,5,5.3,7.9,0,0.0,On Time,1,9.8,1.0,200,5,19.999999999999996,0.6069278876976264,1.63,0.6,Accept in current sprint
CR_000014,780,Sprint 26 - Waikato - Release X+5,REL_X+5,5140,iOS UI implementation,Task,Task,2,Low,2025-04-11,6,60.0,13,2,14,14,6.9,9.7,1,0.0,On Time,2,7.3,4.553734061930784,120,3,48.0,0.7983622646595618,1.42,0.3,Split scope or escalate
CR_000015,1181,Sprint 11 - Waikato - Release X+7,REL_X+7,874,Environment setup,Task,Task,1,Critical,2025-04-03,8,80.0,7,2,8,8,16.1,4.9,1,7.3,Moderate,1,8.8,5.0,120,3,23.999999999999993,0.7952961206507144,1.56,1.2,Defer to next sprint
CR_000016,819,Sprint 13 - Congo - Release X+5,REL_X+5,4975,Make a transfer,User Story,User Story,5,Low,2024-12-01,5,50.0,28,3,30,30,16.8,19.2,1,0.0,On Time,5,7.8,4.0,160,4,80.0,0.7603730963262247,1.35,0.3,Split scope or escalate
CR_000017,997,Sprint 9 - Ganga - Release X+6,REL_X+6,6769,QA iOS,Task,Task,1,High,2025-01-01,6,60.0,7,1,7,7,9.6,27.5,0,0.0,On Time,1,6.8,4.553734061930784,200,5,80.0,0.6556810212753617,1.42,0.9,Accept in current sprint
CR_000018,235,Sprint 1 - Nile - Release X+3,REL_X+3,14,Environment setup,Task,Task,3,High,2024-03-13,2,20.0,13,0,13,13,16.4,80.0,0,0.0,On Time,3,3.8,3.0,280,7,224.0,0.6428255780926126,1.14,0.9,Accept in current sprint
CR_000019,1736,Sprint 20 - Yangtze - Release X+10,REL_X+10,7490,Verify Email,User Story,User Story,3,Critical,2026-01-28,8,80.0,21,1,22,22,50.7,13.2,1,13.1,Moderate,3,9.8,7.0,320,8,63.999999999999986,0.7942261218327933,1.56,1.2,Defer to next sprint
CR_000020,1819,Sprint 25 - Waikato - Release X+10,REL_X+10,5509,iOS UI implementation,Task,Task,2,High,2026-03-17,6,60.0,8,0,8,8,11.8,12.3,1,0.0,On Time,2,7.3,4.553734061930784,120,3,48.0,0.7433279134325452,1.42,0.9,Split scope or escalate
CR_000021,811,Sprint 5 - Congo - Release X+5,REL_X+5,463,QA Android,Task,Task,1,High,2024-09-10,3,30.0,4,1,5,5,5.9,36.2,0,0.0,On Time,1,3.8,3.0,160,4,112.0,0.6768696534445531,1.21,0.9,Accept in current sprint
CR_000022,685,Sprint 9 - Yangtze - Release X+5,REL_X+5,7886,Review transfer,User Story,User Story,8,Critical,2024-10-20,3,30.0,42,4,45,45,105.5,89.5,1,5.5,Moderate,8,7.3,5.0,320,8,224.0,0.6006492985964307,1.21,1.2,Split scope or escalate
CR_000023,1453,Sprint 23 - Congo - Release X+8,REL_X+8,2176,Back end development task -1,Task,Task,1,Medium,2025-10-05,3,30.0,7,2,9,9,7.0,41.6,0,0.0,On Time,1,3.8,4.553734061930784,160,4,112.0,0.6288172046297957,1.21,0.6,Accept in current sprint
CR_000024,583,Sprint 11 - Ganga - Release X+4,REL_X+4,36,Review transfer,User Story,User Story,7,High,2024-09-01,4,40.0,43,1,44,44,78.0,32.0,1,27.3,Severe,7,7.8,6.0,200,5,120.0,0.7332815964447019,1.28,0.9,Split scope or escalate
CR_000025,1642,Sprint 4 - Congo - Release X+9,REL_X+9,5424,Android UI implementation,Task,Task,2,High,2025-06-05,1,10.0,10,2,11,11,12.2,36.8,1,0.0,On Time,2,2.3,2.0,160,4,144.0,0.7441484639972317,1.07,0.9,Split scope or escalate
CR_000026,1169,Sprint 25 - Mississippi - Release X+7,REL_X+7,4567,QA Android,Task,Task,1,Critical,2025-08-19,6,60.0,4,0,4,4,7.3,60.5,0,0.0,On Time,1,6.8,4.0,400,10,160.0,0.6216711541878922,1.42,1.2,Accept in current sprint
CR_000027,274,Sprint 14 - Yangtze - Release X+3,REL_X+3,648,Display Card Menu,User Story,User Story,6,High,2024-07-20,1,10.0,32,1,32,32,45.0,62.6,1,0.0,On Time,6,4.3,4.0,320,8,288.0,0.7825260865248099,1.07,0.9,Split scope or escalate
CR_000028,818,Sprint 12 - Congo - Release X+5,REL_X+5,586,Environment setup,Task,Task,1,Critical,2024-11-22,6,60.0,7,2,7,7,12.8,20.0,0,0.0,On Time,1,6.8,3.0,160,4,64.0,0.6872245121793342,1.42,1.2,Accept in current sprint
CR_000029,176,Sprint 20 - Ganga - Release X+2,REL_X+2,4595,QA iOS,Task,Task,1,Critical,2024-07-13,4,40.0,6,1,6,6,9.9,42.8,0,0.0,On Time,1,4.8,4.0,200,5,120.0,0.6436663846285811,1.28,1.2,Accept in current sprint
CR_000030,803,Sprint 23 - Ganga - Release X+5,REL_X+5,3123,Payment Callback,Business Story,Business Story,9,High,2025-03-15,9,90.0,59,0,59,59,146.5,6.6,1,45.0,Critical,9,13.8,4.0,200,5,19.999999999999996,0.6681088208862005,1.63,0.9,Defer to next sprint
CR_000031,1427,Sprint 23 - Ganga - Release X+8,REL_X+8,6591,iOS development task 1,Task,Task,1,High,2025-10-04,2,20.0,6,0,6,6,6.6,42.7,0,0.0,On Time,1,2.8,3.0,200,5,160.0,0.7333965470987712,1.14,0.9,Accept in current sprint
CR_000032,1124,Sprint 6 - Yenisei - Release X+7,REL_X+7,1478,QA iOS,Task,Task,2,Low,2025-02-07,3,30.0,12,0,12,12,5.0,63.6,0,0.0,On Time,2,4.3,9.0,360,9,251.99999999999997,0.7475448918387203,1.21,0.3,Accept in current sprint
CR_000033,366,Sprint 2 - Ganga - Release X+3,REL_X+3,1476,Send email,User Story,User Story,3,Low,2024-03-26,5,50.0,13,0,13,13,6.5,36.8,0,0.0,On Time,3,6.8,4.553734061930784,200,5,100.0,0.6320064776695206,1.35,0.3,Accept in current sprint
CR_000034,1245,Sprint 23 - Congo - Release X+7,REL_X+7,2347,QA Android,Task,Task,1,Medium,2025-07-29,5,50.0,4,1,4,4,3.5,31.9,0,0.0,On Time,1,5.8,2.0,160,4,80.0,0.6013679694400424,1.35,0.6,Accept in current sprint
CR_000035,1671,Sprint 7 - Amazon - Release X+10,REL_X+10,4461,Backend API development,Task,Task,1,Critical,2025-09-14,2,20.0,6,1,6,6,8.8,65.9,0,0.0,On Time,1,2.8,4.553734061930784,240,6,192.0,0.656901953897954,1.14,1.2,Accept in current sprint
CR_000036,659,Sprint 9 - Nile - Release X+5,REL_X+5,1334,Display Card Menu,User Story,User Story,3,Low,2024-10-18,1,10.0,12,0,12,12,4.7,95.4,0,0.0,On Time,3,2.8,5.0,280,7,252.0,0.6216145268831024,1.07,0.3,Accept in current sprint
CR_000037,88,Sprint 10 - Yenisei - Release X+2,REL_X+2,1320,Password Reset,Business Story,Business Story,10,Low,2024-04-05,5,50.0,41,9,49,49,35.1,46.7,1,0.0,On Time,10,10.3,7.0,360,9,180.0,0.7403681774545069,1.35,0.3,Split scope or escalate
CR_000038,1067,Sprint 1 - Nile - Release X+7,REL_X+7,3397,Remove Card,Business Story,Business Story,13,Low,2024-12-21,5,50.0,77,11,86,86,69.7,40.8,1,12.5,Moderate,13,11.8,1.0,280,7,140.0,0.7087518260987146,1.35,0.3,Split scope or escalate
CR_000039,1637,Sprint 25 - Ganga - Release X+9,REL_X+9,5212,iOS development task 1,Task,Task,1,Medium,2026-01-08,8,80.0,4,0,4,4,4.0,8.9,0,0.0,On Time,1,8.8,4.0,200,5,39.99999999999999,0.7773830513179671,1.56,0.6,Accept in current sprint
CR_000040,1243,Sprint 21 - Congo - Release X+7,REL_X+7,887,Update Card,Business Story,Business Story,13,Low,2025-07-06,2,20.0,78,9,82,82,56.1,25.7,1,24.2,Severe,13,8.8,4.553734061930784,160,4,128.0,0.7992288111282269,1.14,0.3,Split scope or escalate
CR_000041,233,Sprint 25 - Amazon - Release X+3,REL_X+3,4862,Back end development task -1,Task,Task,1,Low,2024-11-10,4,40.0,4,0,4,4,1.7,55.8,0,0.0,On Time,1,4.8,1.0,240,6,144.0,0.6123272635301684,1.28,0.3,Accept in current sprint
